,age,job,marital
0,56,housemaid,married
1,57,services,married
2,37,services,married
3,40,admin.,married
4,56,services,married
5,45,services,married
6,59,admin.,married
7,41,blue-collar,married
8,24,technician,single
9,25,services,single
10,41,blue-collar,married
11,25,services,single
12,29,blue-collar,single
13,57,housemaid,divorced
14,35,blue-collar,married
15,54,retired,married
16,35,blue-collar,married
17,46,blue-collar,married
18,50,blue-collar,married
19,39,management,single
20,30,unemployed,married
21,55,blue-collar,married
22,55,retired,single
23,41,technician,single
24,37,admin.,married
25,35,technician,married
26,59,technician,married
27,39,self-employed,married
28,54,technician,single
29,55,unknown,married
30,46,admin.,married
31,59,technician,married
32,49,blue-collar,married
33,54,management,married
34,54,blue-collar,divorced
35,55,unknown,married
36,34,services,married
37,52,technician,married
38,41,admin.,married
39,56,technician,married
40,58,management,unknown
41,32,entrepreneur,married
42,38,admin.,single
43,57,admin.,married
44,44,admin.,married
45,42,technician,single
46,57,admin.,married
47,40,blue-collar,married
48,35,admin.,married
49,45,blue-collar,married
50,54,admin.,married
51,39,housemaid,married
52,60,admin.,married
53,53,admin.,single
54,55,blue-collar,married
55,55,technician,married
56,50,management,married
57,45,services,married
58,55,unemployed,married
59,25,technician,single
60,47,entrepreneur,married
61,51,blue-collar,married
62,42,blue-collar,married
63,42,blue-collar,married
64,48,admin.,married
65,37,admin.,married
66,44,blue-collar,single
67,33,admin.,married
68,56,admin.,married
69,44,blue-collar,single
70,41,management,married
71,44,management,divorced
72,47,admin.,married
73,57,unknown,married
74,37,admin.,married
75,41,blue-collar,divorced
76,55,technician,married
77,33,services,married
78,55,management,married
79,42,blue-collar,married
80,50,blue-collar,married
81,51,blue-collar,married
82,38,admin.,married
83,49,entrepreneur,married
84,38,technician,single
85,31,admin.,divorced
86,41,management,married
87,39,admin.,married
88,49,technician,married
89,34,admin.,married
90,35,admin.,married
91,57,unknown,married
92,60,admin.,married
93,33,unemployed,married
94,42,blue-collar,married
95,45,services,married
96,42,management,married
97,53,admin.,divorced
98,37,technician,single
99,44,blue-collar,married
100,54,services,married
101,49,blue-collar,married
102,54,services,married
103,52,admin.,divorced
104,52,admin.,divorced
105,43,services,single
106,34,housemaid,married
107,35,admin.,married
108,42,entrepreneur,married
109,43,technician,married
110,60,retired,divorced
111,58,unemployed,married
112,35,services,divorced
113,55,blue-collar,married
114,37,management,married
115,36,blue-collar,married
116,52,admin.,divorced
117,57,blue-collar,divorced
118,56,admin.,married
119,48,blue-collar,divorced
120,40,blue-collar,married
121,49,blue-collar,divorced
122,41,services,married
123,45,technician,married
124,32,admin.,married
125,42,admin.,married
126,50,admin.,married
127,31,technician,divorced
128,56,retired,married
129,41,technician,married
130,37,blue-collar,married
131,41,technician,married
132,35,blue-collar,married
133,37,blue-collar,married
134,52,management,married
135,39,management,divorced
136,39,housemaid,married
137,56,blue-collar,married
138,34,services,married
139,45,blue-collar,married
140,43,unemployed,single
141,56,management,married
142,39,management,married
143,53,blue-collar,married
144,38,unknown,divorced
145,42,blue-collar,married
