city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/h,O3/8h,SO2/1h
商丘,188,141,140,1.27,30,34,32,9
库尔勒,179,72,306,0.63,20,73,52,6
喀什地区,177,124,302,0.83,36,53,39,8
海西州,114,43,175,1.0,15,140,130,15
克州,103,42,153,0.6,20,72,70,4
哈密地区,98,31,143,0.75,31,59,47,4
昭通,90,24,127,0.6,20,102,42,34
莱芜,88,65,99,0.67,18,89,77,10
石河子,86,31,119,0.6,42,58,49,11
贵阳,77,41,101,0.88,50,78,24,19
攀枝花,76,53,99,2.62,54,54,28,91
文山州,75,54,75,0.65,14,65,33,14
吐鲁番地区,72,19,92,0.65,13,89,78,6
成都,72,49,92,0.93,54,136,63,12
荆门,72,45,91,0.94,34,78,45,6
来宾,71,50,90,0.95,16,77,45,52
绍兴,68,28,84,0.62,4,106,52,4
衡阳,67,31,82,1.03,17,128,51,23
南充,67,41,82,0.7,27,105,42,4
自贡,66,33,79,0.7,58,114,46,14
