city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/h,O3/8h,SO2/1h
伊春,7,3,5,0.4,3,19,12,4
鹤岗,12,7,10,0.48,3,29,22,5
西双版纳州,12,5,11,0.6,6,36,12,3
双鸭山,12,7,11,0.4,3,19,11,4
七台河,12,8,6,0.63,10,21,13,4
佳木斯,13,8,12,0.56,5,16,15,2
白山,14,6,13,0.45,6,25,17,7
泰安,14,2,7,0.2,11,33,26,6
哈尔滨,14,6,13,0.49,10,44,22,7
铁岭,15,4,6,0.23,8,33,28,6
鞍山,15,9,14,0.8,13,37,27,7
崇左,16,0,0,0.6,6,0,30,12
牡丹江,16,6,11,0.34,9,48,23,3
绥化,17,4,16,0.6,8,37,22,5
日照,17,11,16,0.43,15,31,29,4
辽阳,17,7,16,0.43,12,28,23,9
沈阳,17,4,8,0.5,13,31,32,6
潍坊,17,6,10,0.2,10,34,33,4
三亚,17,5,14,0.4,0,49,32,3
朝阳,18,9,13,0.6,6,42,35,8
